Facility Type,Facility Number,Facility Name,Licensee,Facility Administrator,Facility Telephone Number,Facility Address,Facility City,Facility State,Facility Zip,County Name,Regional Office,Facility Capacity,Facility Status,License First Date,Closed Date
ADULT RESIDENTIAL,374603497,OLIVER ARF #4,"OLIVER, TIFFANI",TIFFANI OLIVER,(619) 741-5351,9403 BARBIC LANE,SPRING VALLEY,CA,91977,SAN DIEGO,8,6,CLOSED,,12/19/2014
ADULT RESIDENTIAL,19200405,"OLIVER SCOTT, LLC","OLIVER SCOTT, LLC",JAMES THOMPSON,(510) 328-1466,3230 MORCOM AVENUE,OAKLAND,CA,94619,ALAMEDA,15,6,LICENSED,5/25/2012,
ADULT RESIDENTIAL,191601735,OLIVIA ISABEL MANOR,"TRUHLAR-JONES ENTERPRISES, INC.",FLORENCE R. SEXTON,(310) 328-5116,21515 SO. FIGUEROA STREET,CARSON,CA,90745,LOS ANGELES,28,110,CLOSED,2/17/1994,4/9/2015
ADULT RESIDENTIAL,198601766,OLIVIA ISABEL MANOR,FIRE DRAGON INVESTMENT LLC,FLORENCE R. SEXTON,(310) 328-5116,21515 S. FIGUEROA STREET,CARSON,CA,90745,LOS ANGELES,28,110,LICENSED,4/6/2015,
ADULT RESIDENTIAL,419210072,OLYMPIC HOME,"ANCHETA ENTERPRISES, INC.",ANTOLIN G. UCOL,(650) 873-3998,2415 OLYMPIC DRIVE,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,14,6,LICENSED,6/10/2008,
ADULT RESIDENTIAL,45002459,OMIA GUEST HOME,ANGELITA MARTINEZ,ANGELITA MARTINEZ,(530) 534-7060,2130 FOGG AVENUE,OROVILLE,CA,95965,BUTTE,25,6,LICENSED,5/13/2013,
ADULT RESIDENTIAL,486800618,OMNI HOUSE,"SMITH, NANETTE","SMITH, NANNETTE",(707) 426-9411,2107 SAN GABRIEL,FAIRFIELD,CA,94533,SOLANO,21,5,CLOSED,7/31/1998,2/12/2018
ADULT RESIDENTIAL,197607383,OMOLAKANNI ADULT RESIDENTIAL FACILITY,SAMSON O. DURODOLA,SAMSON O. DURODOLA,(818) 366-6568,10554 ANDASOL AVENUE,GRANADA HILLS,CA,91344,LOS ANGELES,31,6,CLOSED,4/9/2008,11/1/2016
ADULT RESIDENTIAL,336423928,ON THE HOME FRONT,"HILLTOP MTN. VIEW, INC.","STEVENS, SHEILA",(951) 834-3264,32812 CHARISMATIC CIRCLE,MENIFEE,CA,92584,RIVERSIDE,18,4,CLOSED,5/15/2009,5/13/2014
ADULT RESIDENTIAL,197608277,"ONE SIMPLE FAMILY, INC.","ONE SIMPLE FAMILY, INC",ANNA LIZA CALDERON-MACIAS,(661) 373-3223,44941  13TH STREET WEST,LANCASTER,CA,93534,LOS ANGELES,31,4,LICENSED,6/6/2012,
ADULT RESIDENTIAL,486803027,ONE STEP AT A TIME CARE HOME,MARIA VILLALOBOS-SANTOS AND FABRICIO SANTOS,"VILLALOBOS-SANTOS, MARIA",(707) 427-8553,503 MARINA BLVD,SUISUN CITY,CA,94585,SOLANO,21,6,LICENSED,5/23/2008,
ADULT RESIDENTIAL,286802002,ONE STEP BEYOND CARE HOME,"LA RUE, CARLA","LA RUE, CARLA",(707) 552-8588,154 ENTRADA CIRCLE,AMERICAN CANYON,CA,94503,NAPA,21,4,CLOSED,6/6/2007,3/5/2015
ADULT RESIDENTIAL,342700443,ONONIWU CARE HOME,"ONONIWU, DAVIES","ONONIWU, DAVIES",(916) 416-3240,7975 BASTIEN CT,SACRAMENTO,CA,95828,SACRAMENTO,27,4,PENDING,,
ADULT RESIDENTIAL,445202178,OPAL CLIFF RESIDENTIAL CENTER,"FRONT ST., INC.",LINDSEY PILKINGTON,(831) 420-0120,4795 OPAL CLIFF DR.,SANTA CRUZ,CA,95062,SANTA CRUZ,26,15,LICENSED,9/30/2009,
ADULT RESIDENTIAL,198601513,OPEN ARMS,"OPEN ARMS, LLC",ROBBIE M. THOMPSON,(310) 346-3447,229 SOUTH LOCUST AVENUE,COMPTON,CA,90221,LOS ANGELES,28,4,LICENSED,1/3/2013,
ADULT RESIDENTIAL,374603857,OPEN ARMS II ADULT RESIDENTIAL FACILITY,"WATKINS, JERRY","WATKINS, JERRY",(619) 368-0626,9515 DATE ST.,SPRING VALLEY,CA,91977,SAN DIEGO,8,6,LICENSED,2/8/2016,
ADULT RESIDENTIAL,198601891,"OPEN ARMS, LOVING HANDS",NEDRA C. JONES,VANESSA LEE,(323) 308-9969,2702 WEST 77TH STREET,INGLEWOOD,CA,90305,LOS ANGELES,28,6,LICENSED,12/17/2014,
ADULT RESIDENTIAL,347005041,"OPEN HANDS ADULT RESIDENTIAL FACILITY, LLC","DUCKETT, WILLIE & DAVIS, TERRI","DAVIS, TERRY & CRITTENDON,",(707) 888-7645,3810 CYPRESS STREET,SACRAMENTO,CA,95838,SACRAMENTO,27,6,CLOSED,,1/7/2014
ADULT RESIDENTIAL,107203148,OPOKU-ABABIO ADULT CARE,"OPOKU-ABABIO, KOFI","OPOKU-ABABIO, KOFI",(559) 224-8458,2723 E. ROBINSON AVENUE,FRESNO,CA,93726,FRESNO,24,6,LICENSED,4/27/2005,
ADULT RESIDENTIAL,107206904,OPOKU RESIDENTIAL CARE,KOFI OPOKU-ABABIO,KOFI OPOKU-ABABIO,(559) 765-4729,1844 DENNIS AVE,CLOVIS,CA,93611,FRESNO,24,4,CLOSED,7/8/2015,1/4/2016
ADULT RESIDENTIAL,107206764,OPOKU RESIDENTIAL CARE,KOFI OPOKU-ABABIO,"OPOKU-ABABIO, KOFI",(559) 475-4057,671 E KEATS AVE,FRESNO,CA,93710,FRESNO,24,4,LICENSED,1/5/2016,
ADULT RESIDENTIAL,107208833,OPOKU RESIDENTIAL CARE #2,KOFI OPOKU-ABABIO,KOFI OPOKU-ABABIO,(559) 475-4057,316 S CAESAR AVE,FRESNO,CA,93727,FRESNO,24,4,CLOSED,,1/19/2018
ADULT RESIDENTIAL,405802297,OPTIONS - LEGATO HOME,OPTIONS FAMILY OF SERVICES INC,"GLABERE, STEPHEN",(805) 772-6066,3750 LA LUZ RD.,ATASCADERO,CA,93422,SAN LUIS OBISPO,29,4,LICENSED,6/18/2018,
ADULT RESIDENTIAL,405801389,OPTIONS FAMILY OF SERVICES-SONATA HOME,"OPTIONS FAMILY OF SERVICES, INC",STEPHEN GLABERE,(805) 462-8544,5755 VALENTINA AVENUE,ATASCADERO,CA,93422,SAN LUIS OBISPO,29,3,LICENSED,8/29/2006,
ADULT RESIDENTIAL,425801020,OPTIONS: ALVIN STREET,"CENTRAL COAST NEUROBEHAVIOR CTR, INC",STEVE GLABERE,(805) 922-6845,937 WEST ALVIN STREET,SANTA MARIA,CA,93454,SANTA BARBARA,29,6,LICENSED,12/3/2003,
ADULT RESIDENTIAL,191803094,ORA'S BOARD & CARE,CALIFORNIA RESOURCES DEVELOPMENT COMPANY,EDWIN VILLANUEVA,(323) 734-6120,2012 W WASHINGTON BLVD,LOS ANGELES,CA,90018,LOS ANGELES,28,15,LICENSED,11/8/1979,
ADULT RESIDENTIAL,342700013,ORACLE MANOR,AED PARTENERSHIP,"EMPERADOR, ANN KRISTINE",(916) 585-9577,1 ORACLE COURT,SACRAMENTO,CA,95823,SACRAMENTO,27,6,CLOSED,,2/15/2017
ADULT RESIDENTIAL,306004484,ORANGE AVENUE BOARD & CARE,"PHL CARE, INC.",TERRI DAVIS,(714) 556-9595,2533 ORANGE AVENUE,SANTA ANA,CA,92707,ORANGE,22,18,CLOSED,12/19/2012,5/5/2015
ADULT RESIDENTIAL,197803389,ORANGE COMMUNITY CARE,"SAAFIR, TRACY AND CENTER, BARBARA","SAAFIR, AHMED",(562) 599-0856,2103 ORANGE AVENUE,LONG BEACH,CA,90806,LOS ANGELES,28,36,LICENSED,11/30/2000,
ADULT RESIDENTIAL,336410626,ORANGE CREST ADULT RESIDENTIAL FACILITY,DAVID FERGUSON,DAVID FERGUSON,(951) 780-4010,19068 KRAMERIA AVE,RIVERSIDE,CA,92508,RIVERSIDE,18,6,LICENSED,5/27/2005,
ADULT RESIDENTIAL,347005367,ORANGE GROVE SENIOR LIVING,VIVIAN KONEFAL,VIVIAN KONEFAL,(916) 568-7471,228 GRACE AVE,SACRAMENTO,CA,95838,SACRAMENTO,23,6,PENDING,12/18/2014,10/5/2017
ADULT RESIDENTIAL,370801401,ORANGE WOOD MANOR,JO-VON ENTERPRISES,DEBRA ALVARADO,(619) 440-0121,1202 SOUTH ORANGE,EL CAJON,CA,92020,SAN DIEGO,8,49,LICENSED,8/23/1983,
ADULT RESIDENTIAL,336411427,ORANGECREST VILLA,"PEOPLE'S CARE,LLC",FLORENCE BAZILE,(951) 780-5047,801 LANGHOLM WAY,RIVERSIDE,CA,92508,RIVERSIDE,18,4,LICENSED,8/29/2006,
ADULT RESIDENTIAL,306000198,ORANGEWOOD VILLA,"CONANAN,JR.,MANSUETO T.& REMA B.",MANSUETO T. CONANAN JR.,(714) 897-8797,7801 ORANGEWOOD AVENUE,STANTON,CA,90680,ORANGE,22,6,LICENSED,11/13/1995,
ADULT RESIDENTIAL,360911547,"ORCHID COURT, INC.","ORCHID COURT, INC.","GOSUICO, CLODOVEO III",(909) 884-3044,307 S. ARROWHEAD AVENUE,SAN BERNARDINO,CA,92408,SAN BERNARDINO,18,80,LICENSED,1/20/1994,
ADULT RESIDENTIAL,79200274,ORCHID HOME,ORCHID CARE CORP,"MIRANDA, RAQUEL B.",(650) 438-4468,109 ORCHID CT,HERCULES,CA,94547,CONTRA COSTA,15,6,LICENSED,5/30/2012,
ADULT RESIDENTIAL,547204239,ORDUNO COUNTRY HOME,"ORDUNO, CAROLYN & ORDUNO, LAURA ANN","ORDUNO, CAROLYN",(559) 361-1692,11600 S. ORANGE BELT DRIVE,PORTERVILLE,CA,93257,TULARE,24,6,LICENSED,2/27/2009,
ADULT RESIDENTIAL,547206804,ORDUNO HOME 3,"ORDUNO, CAROL; ORDUNO, LAURA","ORDUNO, LAURA",(559) 784-4980,515 N PLANO ST,PORTERVILLE,CA,93257,TULARE,24,6,LICENSED,11/22/2016,
ADULT RESIDENTIAL,547206805,ORDUNO HOME 4,"ORDUNO, CAROL; ORDUNO, LAURA","ORDUNO, LAURA",(559) 784-6911,11667 S ORANGE BELT DRIVE,PORTERVILLE,CA,93257,TULARE,24,6,LICENSED,11/21/2016,
ADULT RESIDENTIAL,547202438,ORDUNO HOME #3,"ORDUNO, MANUELA & LAURA","ORDUNO, MANUELA & LAURA",(559) 784-4980,515 N. PLANO,PORTERVILLE,CA,93257,TULARE,24,6,CLOSED,11/12/2010,11/28/2016
ADULT RESIDENTIAL,547200638,ORDUNO HOME #4,"ORDUNO, MANUELA","ORDUNO, MANUELA",(559) 784-6911,11667 S. ORANGE BELT DRIVE,PORTERVILLE,CA,93257,TULARE,24,6,CLOSED,1/1/1998,11/28/2016
ADULT RESIDENTIAL,547201021,ORDUNO HOME #5,"ORDUNO, MANUELA","ORDUNO, MANUELA",(559) 784-1368,32 NORTH OLIVE TERRACE,PORTERVILLE,CA,93257,TULARE,24,6,CLOSED,7/17/2000,6/3/2014
ADULT RESIDENTIAL,547201435,ORDUNO HOME #6,"ORDUNO, MANUELA","ORDUNO, MANUELA",(559) 783-8085,375 NORTH MATHEW AVENUE,PORTERVILLE,CA,93257,TULARE,24,6,CLOSED,3/20/2002,6/25/2015
ADULT RESIDENTIAL,19200426,OREGON CARE HOME,EDWARD O. CRUZ,BRITTANY BAUTISTA-CRUZ,(510) 477-9847,2622 OREGON STREET,UNION CITY,CA,94587,ALAMEDA,15,6,CLOSED,10/10/2012,10/3/2016
ADULT RESIDENTIAL,198203198,ORINTHIA RESIDENTIAL FACILITY,"PICART, SHIRLEY F. & PHILLIPS, HYVEN M.","PHILLIPS, HYVEN M.",(323) 373-1199,2850 HILLCREST DRIVE,LOS ANGELES,CA,90016,LOS ANGELES,28,4,CLOSED,9/15/2003,5/15/2016
ADULT RESIDENTIAL,370802865,ORLANDO GUEST HOME,"HUERTAS, ANTONIO AND FANNIE",CYRALYNN MABALOT,(619) 444-9411,297 -299 ORLANDO,EL CAJON,CA,92021,SAN DIEGO,8,34,LICENSED,12/18/1986,
ADULT RESIDENTIAL,374603757,ORR FAMILY ADULT RES FACILITY-POSADA HOUSE,ORR FAMILY ADULT RESIDENT FACILITY LLC,"ORR, DIAN",(760) 231-5359,3920 POSADA CT,OCEANSIDE,CA,92058,SAN DIEGO,8,6,LICENSED,7/17/2017,
ADULT RESIDENTIAL,336408872,OSBORN FAMILY HOME,KEITH & JANIE OSBORN,JANIE OSBORN,(951) 677-2205,22467 ARBOR DALE COURT,MURRIETA,CA,92562,RIVERSIDE,18,1,LICENSED,4/28/2004,
ADULT RESIDENTIAL,197600466,OSIO HOMES,"OSIO, REYNALDO M.","OSIO, REYNALDO",(818) 352-9376,10343 COMMERCE ST.,TUJUNGA,CA,91042,LOS ANGELES,31,6,LICENSED,8/15/1995,
ADULT RESIDENTIAL,455002555,"OSTERMAN CERRO, INC.","OSTERMAN CERRO, INC","OSTERMAN, RYAN",(530) 275-2346,4582 CERRO LANE,REDDING,CA,96001,SHASTA,25,6,LICENSED,10/17/2014,
ADULT RESIDENTIAL,19200277,OTIS,ALEGRIA COMMUNITY LIVING,DAVID AGNEW,(510) 287-8488,1908 OTIS DRIVE,ALAMEDA,CA,94501,ALAMEDA,15,3,LICENSED,9/30/2008,
ADULT RESIDENTIAL,342700192,OUR FATHERS S.L.E,OUR FATHERS S.L.E,"HENRY, KEESHA B",(415) 926-0258,4709 BATTLES COURT,ELK GROVE,CA,95757,SACRAMENTO,27,6,CLOSED,,9/13/2017
ADULT RESIDENTIAL,306003538,OUR HAVEN,RODRIGO/FLORA DEGUZMAN,MAFLORA DE GUZMAN,(562) 920-5635,6318 HARDWICK STREET,LAKEWOOD,CA,90713,ORANGE,28,5,LICENSED,1/16/2007,
ADULT RESIDENTIAL,79200603,OUR HOME,BERNADETTE IMELDA DUGAN,"DUGAN, BERNADETTE",(925) 933-8706,370 VERNAL DRIVE,ALAMO,CA,94507,CONTRA COSTA,15,6,LICENSED,2/7/2018,
ADULT RESIDENTIAL,125002283,OUR HOUSE,"DEARINGER, DIANA","DEARINGER, DIANA",(707) 268-0679,3309 MONTGOMERY STREET,EUREKA,CA,95503,HUMBOLDT,21,4,CLOSED,9/3/2009,6/10/2016
ADULT RESIDENTIAL,126803764,OUR HOUSE,"MELTON, SARA","SHANNON, ALEXANDER",(707) 268-0679,3309 MONTGOMERY,EUREKA,CA,95503,HUMBOLDT,21,4,LICENSED,6/10/2016,
ADULT RESIDENTIAL,486801572,OUR HOUSE,"CRESTWOOD BEHAVIORAL HEALTH, INC.","OKEIGWE, HELEN",(707) 558-1777,2201 TUOLUMNE STREET,VALLEJO,CA,94589,SOLANO,21,46,LICENSED,7/15/2004,
ADULT RESIDENTIAL,306005504,OUR LADY OF GUADALUPE HOME,"SANTIAGO, CRESENCIA A","SANTIAGO, CRESENCIAD",(949) 328-9784,24361 BRIDGER RD,LAKE FOREST,CA,92630,ORANGE,22,6,PENDING,,
ADULT RESIDENTIAL,435201913,OUR LADY OF MANAOAG CARE HOME,"OUR LADY OF MANAOAG CARE HOME, INC.","GUTIERREZ, KIMBERLY G.",(408) 719-8063,222 AUTREY ST.,MILPITAS,CA,95035,SANTA CLARA,26,6,CLOSED,12/13/2006,5/31/2016
ADULT RESIDENTIAL,490108791,OUR PLACE,"LAWRENCE, SARAH AND STEPHENS, JACQUELINE","COLEMAN, TESS",(707) 528-1808,252 JACQUELINE DRIVE,SANTA ROSA,CA,95405,SONOMA,21,6,LICENSED,7/26/1988,
ADULT RESIDENTIAL,496803038,OUR PLACE 2,"LAWRENCE, SARAH","LOPEZ, LAURA",(707) 526-1808,4313 HOEN AVE,SANTA ROSA,CA,95405,SONOMA,21,6,LICENSED,2/14/2008,
ADULT RESIDENTIAL,198600666,OVARIE SMITH HOME,"SMITH, OVARIE","SMITH, OVARIE",(323) 298-8511,3967 WELLAND AVENUE,LOS ANGELES,CA,90008,LOS ANGELES,28,4,CLOSED,1/27/2006,5/16/2014
ADULT RESIDENTIAL,198601913,OVER & BEYOND CARE,"OVER & BEYOND CARE, INC.",ASHLEY SCOTT,(562) 879-2220,1903 N. DERN AVE.,COMPTON,CA,90059,LOS ANGELES,28,4,CLOSED,2/23/2015,10/25/2016
ADULT RESIDENTIAL,150408938,OWENS STREET FACILITY,"ELLIS, CHARLES AND MARY","ELLIS, CHARLES & MARY",(661) 634-9445,5 SOUTH OWENS STREET,BAKERSFIELD,CA,93307,KERN,24,6,CLOSED,3/16/1994,1/19/2015
ADULT RESIDENTIAL,198600334,OXFORD VILLA,"CN HORIZONS, INC.","CHERTOK, VLADIMIR",(323) 466-8485,223 NORTH OXFORD AVENUE,LOS ANGELES,CA,90004,LOS ANGELES,28,71,LICENSED,6/1/2004,
ADULT RESIDENTIAL,361880586,OZEIR CORP,OZEIR CORP,"OZEIR, JOEY",(951) 255-9763,3925 ORCHID DR,HIGHLAND,CA,92346,SAN BERNARDINO,18,4,PENDING,,
ADULT RESIDENTIAL,191841115,"O. V. GUEST HOMES, INC.","GORDON, MARYETT","GORDON, MARYETT",(213) 507-5887,2031 7TH AVENUE,LOS ANGELES,CA,90018,LOS ANGELES,28,6,LICENSED,5/2/1989,
ADULT RESIDENTIAL,565802429,P & K BEHAVIORIAL SOLUTIONS,"P & K BEHAVIORAL SOLUTIONS, LLC.","HATCHER, KEVIN L ED.D",(909) 633-4222,2630 COCHRAN STREET,SIMI VALLEY,CA,93065,VENTURA,31,5,LICENSED,2/23/2018,
ADULT RESIDENTIAL,435200965,PACE - LAMAR HOUSE,PACIFIC AUTISM CENTER FOR EDUCATION,SABRA NAKAMOTO,(408) 735-8414,854 GARY AVENUE,SUNNYVALE,CA,94086,SANTA CLARA,26,6,LICENSED,10/3/2001,
ADULT RESIDENTIAL,435200320,PACE - MAHALO,PACIFIC AUTISM CENTER FOR EDUCATION,AIDA URENA,(408) 448-6112,1720 MERRILL DRIVE,SAN JOSE,CA,95124,SANTA CLARA,26,6,LICENSED,7/1/1996,
ADULT RESIDENTIAL,435200321,PACE - MATRANGA HOUSE,PACIFIC AUTISM CENTER FOR EDUCATION,NAWARD SMITH,(408) 559-4689,2318 NEW JERSEY AVENUE,SAN JOSE,CA,95124,SANTA CLARA,26,6,LICENSED,7/2/1996,
ADULT RESIDENTIAL,430703824,PACE - MEADOWS,PACIFIC AUTISM CENTER FOR EDUCATION (PACE),NAWARD HERNANDEZ,(408) 773-8633,862 HOLLENBECK AVENUE,SUNNYVALE,CA,94087,SANTA CLARA,26,6,LICENSED,11/9/1988,
ADULT RESIDENTIAL,397203051,PACE HOUSE: PATH TO ATTAINING CHOICE EXPERIENCES,COMMUNITY CATALYSTS OF CALIFORNIA,"HUTCHINSON, CLAUDIA",(209) 474-9700,3541 TOWNSHEND CIRCLE,STOCKTON,CA,95212,SAN JOAQUIN,27,3,CLOSED,6/30/2008,11/30/2013
ADULT RESIDENTIAL,198600534,PACENCIA HOME,"ZYLEENVI, INC.",EILEEN CORREOS,(562) 916-0053,20507 HARVEST AVENUE,LAKEWOOD,CA,90715,LOS ANGELES,28,4,LICENSED,11/17/2005,
ADULT RESIDENTIAL,240406099,PACHECO ADULT RESIDENTIAL HOME,"PACHECO, FRANK",RHONDA DAVIDSON,(209) 722-4810,2961 R STREET,MERCED,CA,95340,MERCED,24,6,CLOSED,1/12/1990,6/3/2015
ADULT RESIDENTIAL,247202985,PACHECO FAMILY HOME,"PACHECO, FRANK",RHONDA DAVIDSON,(209) 384-2875,1155 INSPIRATION POINT CT,MERCED,CA,95340,MERCED,24,6,CLOSED,3/17/2006,3/9/2018
ADULT RESIDENTIAL,247206764,PACHECO HOMES,PACHECO HOMES,ASHLEY GUSTIN,(209) 722-4810,2450 2ND AVENUE,MERCED,CA,95340,MERCED,24,6,LICENSED,6/4/2014,
ADULT RESIDENTIAL,79200314,PACHECO STREET ADULT RESIDENTIAL FACILITY,"JANNAT CARE SERVICES, LLC","KUMAR, HARMESH",(925) 356-0122,2249 PACHECO STREET,CONCORD,CA,94521,CONTRA COSTA,15,6,CLOSED,,2/18/2014
ADULT RESIDENTIAL,306004625,PACIFIC BOARD AND CARE HOME,"PACIFIC BC1, LLC",DIANA G. HERNANDEZ,(714) 735-9048,7612 PACIFIC AVENUE,BUENA PARK,CA,90621,ORANGE,22,8,CLOSED,,11/14/2013
ADULT RESIDENTIAL,197802108,PACIFIC BRIDGE ADULT RESIDENTIAL FACILITY,PACIFIC BRIDGE HOUSING CORP. & LTSC COM. DEV. CORP,SIOKKHING SMITH,(626) 307-8896,500 S. MCPHERRIN AVE,MONTEREY PARK,CA,91754,LOS ANGELES,28,6,LICENSED,6/15/1998,
ADULT RESIDENTIAL,198602006,PACIFIC CARE ARF,SUNTRAL LLC,YEEMON KOKO,(626) 510-0157,14856 PACIFIC AVE,BALDWIN PARK,CA,91706,LOS ANGELES,28,6,CLOSED,,2/5/2015
ADULT RESIDENTIAL,198602964,PACIFIC HORIZON,ATK HOMES INC,"KIM, MICHAEL",(562) 368-1479,9115 UNION ST,PICO RIVERA,CA,90660,LOS ANGELES,28,6,LICENSED,8/1/2018,
ADULT RESIDENTIAL,198601779,PACIFIC HORIZON,"ATK HOMES, INC.",MICHAEL KIM,(626) 285-8213,6024 BARLETT AVE,SAN GABRIEL,CA,91775,LOS ANGELES,28,6,LICENSED,5/14/2015,
ADULT RESIDENTIAL,216801066,PACIFIC PATHWAY,"ZHAI, QIUMING (ROBERT)","ZHAI, QIUMING",(415) 902-8495,1130 LAS GALLINAS AVE,SAN RAFAEL,CA,94903,MARIN,21,6,LICENSED,2/1/2002,
ADULT RESIDENTIAL,216803455,"PACIFIC PATHWAY, INC.","PACIFIC PATHWAY, INC.","ZHAI, QIUMING",(415) 902-8495,1023 LAS GALLINAS AVENUE,SAN RAFAEL,CA,94903,MARIN,21,4,LICENSED,10/8/2013,
ADULT RESIDENTIAL,197800489,PACIFIC PLACE,"DEVERA, LEONARDO & LILIA",LILIA A. DEVERA,(562) 424-2956,3244-3242 PACIFIC AVENUE,LONG BEACH,CA,90807,LOS ANGELES,28,9,CLOSED,6/26/1995,4/20/2015
ADULT RESIDENTIAL,306000259,PACIFIC PLACE GUEST HOME,"GARCIANO, LIGAYA & QUIZON, ROSARIO",L. GARCIANO,(714) 776-8130,1584 PACIFIC PLACE,ANAHEIM,CA,92802,ORANGE,22,6,LICENSED,10/20/1995,
ADULT RESIDENTIAL,198600662,PACIFIC VIEW GUEST HOME,MAYAP INC.,ROMMEL DUNGCA,(310) 521-9896,2300 S. PACIFIC AVENUE,SAN PEDRO,CA,90731,LOS ANGELES,28,72,CLOSED,2/23/2006,11/28/2017
ADULT RESIDENTIAL,435202547,PADDINGTON ADULT RESIDENTIAL CARE HOME,"VALENZUELA, CECILIA S","VALENZUELA, CECILIA S",(408) 770-9956,1236 PADDINGTON WAY,SAN JOSE,CA,95127,SANTA CLARA,26,6,LICENSED,9/22/2016,
ADULT RESIDENTIAL,360909246,"PADUA VILLAGE, INC.","PADUA VILLAGE - A SUBSIDIARY OF CASA COLINA, INC.","MANGOLD, KEVIN",(760) 248-6245,11981 MIDWAY RD.,LUCERNE VALLEY,CA,92356,SAN BERNARDINO,18,26,LICENSED,7/12/1989,
ADULT RESIDENTIAL,191592309,"PADUA VILLAGE, INC. - HILLSDALE HOME","PADUA VILLAGE, INC.",CHERROL ALLAN,(909) 626-4799,1226 HILLSDALE DR.,CLAREMONT,CA,91711,LOS ANGELES,28,6,LICENSED,9/30/1988,
ADULT RESIDENTIAL,374600811,PAGODA RESIDENTIAL CARE,"CABUANG, ELEANOR P.",ELEANOR P. CABUANG,(858) 689-6811,8865 PAGODA WAY,SAN DIEGO,CA,92126,SAN DIEGO,8,4,LICENSED,10/4/1999,
ADULT RESIDENTIAL,336400434,PAIRO'S ADULT RESIDENTIAL,"PAIRO, RAUL & ISABEL","PAIRO, RAUL",(951) 360-6016,6663 AZUSA COURT,RIVERSIDE,CA,92509,RIVERSIDE,18,6,LICENSED,4/10/1995,
ADULT RESIDENTIAL,366402892,PAIRO'S ADULT RESIDENTIAL II,"PAIRO, RAUL","PAIRO, RAUL",(909) 825-2710,1233 MICHAEL DARCY ST.,COLTON,CA,92324,SAN BERNARDINO,18,4,LICENSED,4/8/1999,
ADULT RESIDENTIAL,366403557,PAIRO'S ADULT RESIDENTIAL III,"PAIRO, RAUL R.","PAIRO, RAUL R.",(909) 879-0226,18815 WRANGLER DRIVE,BLOOMINGTON,CA,92316,SAN BERNARDINO,18,6,LICENSED,8/28/2000,
ADULT RESIDENTIAL,275200847,PAJARO ADULT CARE,"RAMIREZ, SOFIA","RAMIREZ, SOFIA",(831) 796-0542,1216 PAJARO ST.,SALINAS,CA,93901,MONTEREY,26,6,CLOSED,2/1/2001,12/15/2015
ADULT RESIDENTIAL,366412326,PALA CARE CENTER,ARMANDO LAYGO AND ANITA LAYGO,CUSTODIO LAYGO,(760) 247-9213,24830 PALA LANE,APPLE VALLEY,CA,92307,SAN BERNARDINO,18,6,CLOSED,12/19/2006,8/23/2016
ADULT RESIDENTIAL,366426871,PALA CARE CENTER INC,PALA CARE CENTER INC,"LAYGO, ANITA",(760) 247-9241,24830 PALA LN,APPLE VALLEY,CA,92307,SAN BERNARDINO,18,6,LICENSED,8/23/2016,
ADULT RESIDENTIAL,198602017,PALACIOS ADULT RESIDENTIAL FACILITY,"VILLA PRINCIPE INVESTMENT ENTERPRISES,INC.","PALACIOS, RAQUEL",(626) 338-0854,1232 MILLBURY AVE,LA PUENTE,CA,91746,LOS ANGELES,28,6,LICENSED,10/7/2016,
ADULT RESIDENTIAL,366411347,PALM CARE HOME,"CUELLAR, CARMEN","CUELLAR, CARMEN",(909) 820-9859,732 SOUTH PALM AVENUE,RIALTO,CA,92376,SAN BERNARDINO,18,6,LICENSED,12/21/2005,
ADULT RESIDENTIAL,198601775,PALM GROVE RESIDENTIAL CARE,"JOY LOVING CARE, INC.",TOWANNA CARTER,(323) 294-0434,2914 PALM GROVE AVE.,LOS ANGELES,CA,90016,LOS ANGELES,28,6,LICENSED,5/12/2015,
ADULT RESIDENTIAL,374601380,PALM RESIDENTIAL CARE,"DOMDOM, NOVELITA",NOVELITA DOMDOM,(619) 690-1290,3887 PALM AVENUE,SAN DIEGO,CA,92154,SAN DIEGO,8,6,LICENSED,12/16/2002,
ADULT RESIDENTIAL,336402671,PALM TERRACE HOME,"OSBORN, NORMA","OSBORN, NORMA",(951) 925-3442,1701 E. OAKLAND AVENUE,HEMET,CA,92544,RIVERSIDE,18,4,CLOSED,10/23/1998,12/10/2014
ADULT RESIDENTIAL,11400493,PALM TREE HOME,BIRTHA REED,BIRTHA S. REED,(510) 599-4566,2219 EAST 19TH STREET,OAKLAND,CA,94606,ALAMEDA,15,9,LICENSED,1/28/1994,
ADULT RESIDENTIAL,198601586,PALM TREE HOME INC,PALM TREE HOME INC,ELLIS ALEXANDER,(323) 833-6837,522 W 47TH ST,LOS ANGELES,CA,90037,LOS ANGELES,28,3,LICENSED,12/12/2013,
ADULT RESIDENTIAL,11405349,PALM TREE RESIDENTIAL CARE HOME #2,BERTHA REED,BERTHA REED,(510) 532-7785,2212 - EAST 19TH STREET,OAKLAND,CA,94606,ALAMEDA,15,11,LICENSED,9/29/1993,
ADULT RESIDENTIAL,197604300,"PALM VALLEY GROUP HOMES, INC.","PALM VALLEY GROUP HOMES, INC.",JOEL FLETCHER,(661) 946-3435,43944 DELGADO CT.,LANCASTER,CA,93535,LOS ANGELES,31,4,LICENSED,9/3/2003,
